Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Bathroom,Point of Contact,Total Floors,Bachelors Preferred,Family Preferred
2022-05-18,2,10000,1100,Ground,Super Area,Bandel,Kolkata,Unfurnished,2,Contact Owner,2,True,True
2022-05-13,2,20000,800,1,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Semi-Furnished,1,Contact Owner,3,True,True
2022-05-16,2,17000,1000,1,Super Area,Salt Lake City Sector 2,Kolkata,Semi-Furnished,1,Contact Owner,3,True,True
2022-07-04,2,10000,800,1,Super Area,Dumdum Park,Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-05-09,2,7500,850,1,Carpet Area,South Dum Dum,Kolkata,Unfurnished,1,Contact Owner,2,True,False
2022-04-29,2,7000,600,Ground,Super Area,Thakurpukur,Kolkata,Unfurnished,2,Contact Owner,1,True,True
2022-06-21,2,10000,700,Ground,Super Area,Malancha,Kolkata,Unfurnished,2,Contact Agent,4,True,False
2022-06-21,1,5000,250,1,Super Area,Malancha,Kolkata,Unfurnished,1,Contact Agent,2,True,False
2022-06-07,2,26000,800,1,Carpet Area,"Palm Avenue Kolkata, Ballygunge",Kolkata,Unfurnished,2,Contact Agent,2,True,False
2022-06-20,2,10000,1000,1,Carpet Area,Natunhat,Kolkata,Semi-Furnished,2,Contact Owner,3,True,True
2022-05-23,3,25000,1200,1,Carpet Area,"Action Area 1, Rajarhat Newtown",Kolkata,Semi-Furnished,2,Contact Agent,4,True,True
2022-06-07,1,5000,400,1,Carpet Area,Keshtopur,Kolkata,Unfurnished,1,Contact Agent,1,True,True
2022-05-14,1,6500,250,1,Carpet Area,"Tarulia, Keshtopur",Kolkata,Furnished,1,Contact Owner,4,True,False
2022-05-09,1,5500,375,1,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,1,Contact Agent,2,True,True
2022-05-05,3,8500,900,Ground,Carpet Area,Paschim Barisha,Kolkata,Unfurnished,2,Contact Owner,2,True,False
2022-06-01,3,40000,1286,1,Carpet Area,New Town Action Area 1,Kolkata,Furnished,2,Contact Owner,1,True,True
2022-05-17,2,6000,600,1,Super Area,Barasat,Kolkata,Semi-Furnished,1,Contact Owner,2,True,True
2022-06-20,2,10000,800,Ground,Super Area,Behala,Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-06-09,2,11000,2000,Ground,Carpet Area,Behala Chowrasta,Kolkata,Unfurnished,1,Contact Owner,3,True,True
2022-06-09,2,6000,660,1,Super Area,Behala,Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-07-02,2,7900,650,1,Carpet Area,Santoshpur,Kolkata,Unfurnished,1,Contact Owner,2,False,True
2022-06-14,2,9000,400,2,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,2,Contact Owner,3,True,False
2022-06-15,1,4000,300,Ground,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,1,Contact Owner,4,True,True
2022-06-15,3,6500,1600,Ground,Super Area,Joka,Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-05-28,1,8000,400,1,Super Area,Sreebhumi,Kolkata,Semi-Furnished,1,Contact Agent,2,True,False
2022-05-22,2,7000,1000,1,Super Area,Rajarhat,Kolkata,Unfurnished,1,Contact Owner,1,True,True
2022-06-18,1,5300,355,1,Carpet Area,Dum Dum,Kolkata,Semi-Furnished,1,Contact Agent,1,True,True
2022-06-25,2,6000,1000,Ground,Super Area,"Kodalia, Hooghly-Chinsurah",Kolkata,Semi-Furnished,1,Contact Owner,3,True,True
2022-06-22,2,8500,800,4,Super Area,Baguiati,Kolkata,Unfurnished,1,Contact Owner,5,True,True
2022-06-25,2,12500,850,Ground,Super Area,"Rabindra Sarobar Area, Dhakuria",Kolkata,Unfurnished,2,Contact Owner,2,True,True
2022-05-21,1,7500,350,Ground,Carpet Area,Baghajatin,Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-06-26,2,15000,900,Ground,Carpet Area,"Project Kaikhali, Vip Road",Kolkata,Unfurnished,2,Contact Owner,2,True,True
2022-06-16,2,6000,550,1,Super Area,Vip Road,Kolkata,Semi-Furnished,1,Contact Owner,1,True,True
2022-06-29,2,5000,500,Ground,Carpet Area,Baruipur,Kolkata,Unfurnished,2,Contact Owner,2,True,True
2022-05-10,3,22000,1100,2,Carpet Area,Dumdum Park,Kolkata,Unfurnished,1,Contact Owner,3,True,True
2022-05-12,2,15000,850,1,Carpet Area,Sreebhumi,Kolkata,Semi-Furnished,1,Contact Owner,2,True,True
2022-06-03,2,12500,800,2,Carpet Area,Shyam Bazar,Kolkata,Unfurnished,1,Contact Agent,2,True,False
2022-05-31,2,7000,630,Ground,Carpet Area,Birati,Kolkata,Unfurnished,1,Contact Owner,3,True,False
